Entity,Code,Day,facial_coverings
Japan,JPN,6/27/2020,1
Japan,JPN,6/28/2020,1
Japan,JPN,6/29/2020,1
Japan,JPN,6/30/2020,1
Japan,JPN,7/1/2020,1
Japan,JPN,7/2/2020,1
Japan,JPN,7/3/2020,1
Japan,JPN,7/4/2020,1
Japan,JPN,7/5/2020,1
Japan,JPN,7/6/2020,1
Japan,JPN,7/7/2020,1
Japan,JPN,7/8/2020,1
Japan,JPN,7/9/2020,1
Japan,JPN,7/10/2020,1
Japan,JPN,7/11/2020,1
Japan,JPN,7/12/2020,1
Japan,JPN,7/13/2020,1
Japan,JPN,7/14/2020,1
Japan,JPN,7/15/2020,1
Japan,JPN,7/16/2020,1
Japan,JPN,7/17/2020,1
Japan,JPN,7/18/2020,1
Japan,JPN,7/19/2020,1
Japan,JPN,7/20/2020,1
Japan,JPN,7/21/2020,1
Japan,JPN,7/22/2020,1
Japan,JPN,7/23/2020,1
Japan,JPN,7/24/2020,1
Japan,JPN,7/25/2020,1
Japan,JPN,7/26/2020,1
Japan,JPN,7/27/2020,1
Japan,JPN,7/28/2020,1
Japan,JPN,7/29/2020,1
Japan,JPN,7/30/2020,1
Japan,JPN,7/31/2020,1
Japan,JPN,8/1/2020,1
Japan,JPN,8/2/2020,1
Japan,JPN,8/3/2020,1
Japan,JPN,8/4/2020,1
Japan,JPN,8/5/2020,1
Japan,JPN,8/6/2020,1
Japan,JPN,8/7/2020,1
Japan,JPN,8/8/2020,1
Japan,JPN,8/9/2020,1
Japan,JPN,8/10/2020,1
Japan,JPN,8/11/2020,1
Japan,JPN,8/12/2020,1
Japan,JPN,8/13/2020,1
Japan,JPN,8/14/2020,1
Japan,JPN,8/15/2020,1
Japan,JPN,8/16/2020,1
Japan,JPN,8/17/2020,1
Japan,JPN,8/18/2020,1
Japan,JPN,8/19/2020,1
Japan,JPN,8/20/2020,1
Japan,JPN,8/21/2020,1
Japan,JPN,8/22/2020,1
Japan,JPN,8/23/2020,1
Japan,JPN,8/24/2020,1
Japan,JPN,8/25/2020,1
Japan,JPN,8/26/2020,1
Japan,JPN,8/27/2020,1
Japan,JPN,8/28/2020,1
Japan,JPN,8/29/2020,1
Japan,JPN,8/30/2020,1
Japan,JPN,8/31/2020,1
Japan,JPN,9/1/2020,1
Japan,JPN,9/2/2020,1
Japan,JPN,9/3/2020,1
Japan,JPN,9/4/2020,1
Japan,JPN,9/5/2020,1
Japan,JPN,9/6/2020,1
Japan,JPN,9/7/2020,1
Japan,JPN,9/8/2020,1
Japan,JPN,9/9/2020,1
Japan,JPN,9/10/2020,1
Japan,JPN,9/11/2020,1
Japan,JPN,9/12/2020,1
Japan,JPN,9/13/2020,1
Japan,JPN,9/14/2020,1
Japan,JPN,9/15/2020,1
Japan,JPN,9/16/2020,1
Japan,JPN,9/17/2020,1
Japan,JPN,9/18/2020,1
Japan,JPN,9/19/2020,1
Japan,JPN,9/20/2020,1
Japan,JPN,9/21/2020,1
Japan,JPN,9/22/2020,1
Japan,JPN,9/23/2020,1
Japan,JPN,9/24/2020,1
Japan,JPN,9/25/2020,1
Japan,JPN,9/26/2020,1
Japan,JPN,9/27/2020,1
Japan,JPN,9/28/2020,1
Japan,JPN,9/29/2020,1
Japan,JPN,9/30/2020,1
Japan,JPN,10/1/2020,1
Japan,JPN,10/2/2020,1
Japan,JPN,10/3/2020,1
Japan,JPN,10/4/2020,1
Japan,JPN,10/5/2020,1
Japan,JPN,10/6/2020,1
Japan,JPN,10/7/2020,1
Japan,JPN,10/8/2020,1
Japan,JPN,10/9/2020,1
Japan,JPN,10/10/2020,1
Japan,JPN,10/11/2020,1
Japan,JPN,10/12/2020,1
Japan,JPN,10/13/2020,1
Japan,JPN,10/14/2020,1
Japan,JPN,10/15/2020,1
Japan,JPN,10/16/2020,1
Japan,JPN,10/17/2020,1
Japan,JPN,10/18/2020,1
Japan,JPN,10/19/2020,1
Japan,JPN,10/20/2020,1
Japan,JPN,10/21/2020,1
Japan,JPN,10/22/2020,1
Japan,JPN,10/23/2020,1
Japan,JPN,10/24/2020,1
Japan,JPN,10/25/2020,1
Japan,JPN,10/26/2020,1
Japan,JPN,10/27/2020,1
Japan,JPN,10/28/2020,1
Japan,JPN,10/29/2020,1
